city_slug,city_label,owner_scope,public_scope,program_note,source_id
philadelphia,"Philadelphia, PA","Philadelphia says customers maintain and repair sanitary and storm sewer laterals connecting the home to the main.","The city or utility side begins at the public main, so laterals are not automatically a city repair obligation.","Philadelphia's HELP loan program can change affordability but does not remove the need to verify eligibility and actual line condition.",phl-001
philadelphia,"Philadelphia, PA","Philadelphia Water also frames faulty plumbing and sewer connections to the home as the customer's responsibility.","This official phrasing supports cautious buyer and owner discussions about owner-side exposure.","Use HELP or financing conversations only after the lateral issue is documented.",pwd-001
pittsburgh,"Pittsburgh, PA","Pittsburgh Water says the entire sewer lateral from the building to the main is the property owner's responsibility.","The public utility maintains the main, not the owner's full lateral run.","The local edge here is ownership clarity, not a broad subsidy program.",pit-001
cleveland,"Cleveland, OH","Cleveland Water tells customers they may be responsible for their sewer lines and promotes optional protection.","The city-side utility context does not erase owner-side repair exposure.","Protection language should be framed as optional and plan-specific, not guaranteed coverage.",cle-001
st-louis,"St. Louis, MO","MSD backup guidance points owners toward private-property maintenance and local response steps.","Public utility programs do not automatically turn every private lateral issue into a city-paid repair.","City and County lateral fee programs can affect funding, but evidence and eligibility still come first.",stl-001
st-louis,"St. Louis, MO","MSD lateral programs are part of how some private lateral repairs get funded locally.","Those programs support response planning without creating blanket city liability.","Users should verify whether the property and defect qualify before relying on a program.",stl-002
washington-dc,"Washington, DC","DC Water says owners are typically responsible for cleanup and for many maintenance-related backup causes.","DC Water says it generally does not pay for damages, which makes owner-side exposure a live issue.","The right next step is usually to verify cause and line condition before arguing over blame.",dc-001
milwaukee,"Milwaukee, WI","Milwaukee says homeowners are responsible for the sewer lateral from the home to the public main, including repair and maintenance.","The public main remains city-side infrastructure even when the owner carries the full private-lateral burden.","Owner responsibility is clear, but older-home rehabilitation and support conversations still depend on actual line condition.",mil-001
milwaukee,"Milwaukee, WI","Milwaukee's private-property inflow program shows how older homes may need lateral rehabilitation or foundation-drain disconnection to reduce clearwater inflow.","That program context does not mean every old-home sewer issue is city-funded or automatically caused by public infrastructure.","Use program references to explain local context and possible support, not to promise eligibility.",mil-002
cincinnati,"Cincinnati, OH","MSD says private building sewers are maintained by the owner at the owner's cost and expense, even when parts run through public right-of-way.","The public sewer system and backup program may still matter, but private building sewer condition remains an owner-side issue.","The right next move is often to verify whether the cause is public, private, or mixed before making a payment argument.",cin-001
cincinnati,"Cincinnati, OH","MSD's sewer backup program distinguishes between public backups and blocked or failed private building sewers.","A backup investigation can help with causation, but it does not erase owner-side maintenance duties.","Use the program to clarify cause, not to assume city liability.",cin-002
baltimore,"Baltimore, MD","Baltimore regulations treat the building sewer from the property line to the building as private and owner-maintained.","City-side responsibility begins at the sewer lateral running from the main to the property line, not necessarily all the way to the house.","That split matters because users can have both public-boundary and private-building-sewer questions at the same time.",bal-001
baltimore,"Baltimore, MD","Baltimore's wet-weather reimbursement program can help with verified capacity-related backup cleanup costs.","That reimbursement process does not automatically cover private building sewer defects, dry-weather events, or undocumented claims.","Use the reimbursement angle only with strong caveats about investigation, timing, and eligibility.",bal-002
detroit,"Detroit, MI","Detroit requires a permit before sewer service repair, replacement, or sewer cleanout installation work begins.","Permit rules and process requirements do not remove owner-side exposure; they raise the importance of documentation and contractor scope clarity.","Use permit language to explain why quote assumptions and work scope need to be specific.",det-001
detroit,"Detroit, MI","Detroit's basement-backup protection materials include inspection and repair or replacement of defective private sewer service lines in some targeted situations.","That local program context helps explain why sewer evidence matters, but it does not guarantee city-funded work for every homeowner.","Program support depends on location, approval, and defect findings.",det-002
detroit,"Detroit, MI","Detroit's Private Sewer Repair Program can fund eligible repairs in qualifying neighborhoods.","Program availability is limited and should be presented as a possible support path, not as a default repair outcome.","Users still need to verify whether the property, neighborhood, and line condition qualify.",det-003
